method,model,score_col,threshold,confirm_frames,num_videos,num_detected,num_missed,num_early,num_late,mae_s,mean_error_s,median_abs_error_s,max_abs_error_s,within_1.0s,within_2.0s
cv_binary_ml,RandomForest,score_binary_RandomForest,0.5,5,3,3,0,1,2,4.533333333333332,2.9333333333333336,2.3999999999999986,10.600000000000001,0.3333333333333333,0.3333333333333333
cv_binary_ml,GradientBoosting,score_binary_GradientBoosting,0.7,7,3,3,0,2,1,10.099999999999998,-8.433333333333334,2.4999999999999964,26.9,0.3333333333333333,0.3333333333333333
cv_binary_ml,GradientBoosting,score_binary_GradientBoosting,0.7,10,3,3,0,2,1,10.099999999999998,-8.433333333333334,2.4999999999999964,26.9,0.3333333333333333,0.3333333333333333
cv_binary_ml,GradientBoosting,score_binary_GradientBoosting,0.6,10,3,3,0,2,1,10.699999999999998,-9.033333333333333,2.4999999999999964,28.7,0.3333333333333333,0.3333333333333333
cv_binary_ml,GradientBoosting,score_binary_GradientBoosting,0.7,5,3,3,0,2,1,11.399999999999999,-9.733333333333336,2.4999999999999964,30.1,0.0,0.3333333333333333
cv_binary_ml,LogisticRegression,score_binary_LogisticRegression,0.7,10,3,3,0,2,0,11.5,-11.5,0.5,34.0,0.6666666666666666,0.6666666666666666
cv_binary_ml,GradientBoosting,score_binary_GradientBoosting,0.5,10,3,3,0,2,1,11.600000000000001,-10.466666666666667,1.6999999999999993,31.5,0.0,0.6666666666666666
cv_binary_ml,LogisticRegression,score_binary_LogisticRegression,0.6,10,3,3,0,2,0,12.1,-12.1,2.299999999999997,34.0,0.3333333333333333,0.3333333333333333
cv_binary_ml,LogisticRegression,score_binary_LogisticRegression,0.5,10,3,3,0,2,0,12.166666666666666,-12.166666666666666,2.5,34.0,0.3333333333333333,0.3333333333333333
cv_binary_ml,GradientBoosting,score_binary_GradientBoosting,0.5,3,3,3,0,2,1,12.233333333333333,-11.1,1.6999999999999993,33.4,0.0,0.6666666666666666
cv_binary_ml,GradientBoosting,score_binary_GradientBoosting,0.5,5,3,3,0,2,1,12.233333333333333,-11.1,1.6999999999999993,33.4,0.0,0.6666666666666666
cv_binary_ml,GradientBoosting,score_binary_GradientBoosting,0.5,7,3,3,0,2,1,12.233333333333333,-11.1,1.6999999999999993,33.4,0.0,0.6666666666666666
cv_binary_ml,GradientBoosting,score_binary_GradientBoosting,0.6,7,3,3,0,2,1,12.266666666666664,-10.6,2.4999999999999964,33.4,0.3333333333333333,0.3333333333333333
cv_binary_ml,GradientBoosting,score_binary_GradientBoosting,0.4,1,3,3,0,2,1,12.299999999999999,-11.633333333333333,1.8999999999999986,34.0,0.3333333333333333,0.6666666666666666
cv_binary_ml,GradientBoosting,score_binary_GradientBoosting,0.3,3,3,3,0,2,1,12.333333333333334,-11.666666666666666,2.0,34.0,0.3333333333333333,0.6666666666666666
cv_binary_ml,GradientBoosting,score_binary_GradientBoosting,0.3,5,3,3,0,2,1,12.333333333333334,-11.666666666666666,2.0,34.0,0.3333333333333333,0.6666666666666666
cv_binary_ml,GradientBoosting,score_binary_GradientBoosting,0.5,1,3,3,0,2,1,12.333333333333336,-11.399999999999999,1.6000000000000014,34.0,0.0,0.6666666666666666
